Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Telecommunications Engineer,Information and Communication,Wired telecommunications activities,Higher Education,No,No,N,N,,,,,17-2072,0.6853776260103156,0.5906944444444444,0.51926874303976,Displaced
Telediagnostic Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,29-2035 ,-0.1207078752623671,0.6288888888888889,-0.086842610258203,Protected
Telephone And Broadband Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Television Producer Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Tender Planning & Estimating Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Terminologist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,27-3091,1.0640015601650763,0.6288888888888889,0.7654900113409855,Augmented
Ticket Issuing / Travel Clerk (Transportation and Storage),Transportation and Storage,"Transport via railways, Transport via buses, Other land transport, Inland water transport",Higher Education,No,Yes,Tourism,Tourism,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Ticketing and Reservations Agent,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,No,Tourism,Tourism,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
TIG Plate Welder (Carbon Steel),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,51-4122 ,-0.9644465077543026,0.5352777777777777,-0.78414859116579,Isolated
Tikog Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Tilapia Farm Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,45-2093,-1.1166346396376288,0.5847222222222223,-0.8526746178788449,Isolated
Tile Setter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-2044,-1.3040254291646445,0.5572222222222222,-1.0316290061835856,Isolated
Tinsmith (Automotive Manufacturing),Manufacturing,Manufacture of motor vehicles,Not Higher Education,No,No,N,N,,,,,51-4192,-0.7322789568903688,0.5347222222222222,-0.5957902957588584,Isolated
Tinsmith (HVAC/R Worker),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,51-4192,-0.7322789568903688,0.5347222222222222,-0.5957902957588584,Isolated
Tinsmiths,Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,51-4192,-0.7322789568903688,0.5347222222222222,-0.5957902957588584,Isolated
TLE (Agricultural Track) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2032,0.381604950374696,0.7255555555555556,0.2376550829833523,Augmented
TLE (Industrial Arts) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
TLE (Industrial Technology) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2032,0.381604950374696,0.7255555555555556,0.2376550829833523,Augmented
Tool Maker,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,51-4192,-0.7322789568903688,0.5347222222222222,-0.5957902957588584,Isolated
Toolkeepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Tour Operations Staff,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,41-9099 ,0.4776825370436939,0.5841087962962964,0.3650567157228942,Displaced
Tourism Information Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,Yes,Tourism,Tourism,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Tourist Information Officer (LGU),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Tower Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
Tower Light Tenders,Construction,Other specialized construction activities,Higher Education,No,No,Tourism,Tourism,,,,,51-9194,-0.6501212176431842,0.5002777777777777,-0.5513389104068449,Isolated
Trade & Diplomatic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,43-5011 ,0.9292408184875,0.5383333333333333,0.752685062974875,Displaced
Traditional Animator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Training Quality Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Transit Mixer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3032,-1.100644052209415,0.6174999999999999,-0.8043873614897142,Protected
Translation Associate,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N,,,,,27-3091,1.0640015601650763,0.6288888888888889,0.7654900113409855,Augmented
Translator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,27-3091,1.0640015601650763,0.6288888888888889,0.7654900113409855,Augmented
Transmission Lineman,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,49-9051,-1.2416423994528298,0.7380555555555556,-0.7577467643327409,Protected
Travel Agency Coordinator,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,41-9099 ,0.4776825370436939,0.5841087962962964,0.3650567157228942,Displaced
Travel Content Creator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Travel Services Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Not Higher Education,No,No,Tourism,Tourism,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Treasury Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Truck Mounted Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
TVET Instructor,Education,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-1194,0.1473641831244497,0.6433333333333333,0.103891749102737,Augmented
U.S. Country Desk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,19-3011,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
UI/UX Designer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,27-1027,0.4050940821041838,0.6502777777777778,0.2827781745355038,Augmented
UI/UX Game Artist,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Underwater Diving Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-9031,-2.032514091161482,0.6602777777777779,-1.3984826121686085,Protected
Urban Forestry Aide,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,N,N,1076.0,1947.0,928.0,1574.0,25-9021,0.8006554663832743,0.706111111111111,0.5141987328550363,Augmented
Urban Planning Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,19-3051,1.22004492837092,0.6447222222222222,0.8584371676565391,Augmented
Utility Personnel (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,53-6021,-0.8449649307349394,0.5530555555555555,-0.6719818324150366,Isolated
Values Education Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2022,1.2731661055605612,0.7202777777777779,0.7996190457423412,Augmented
Vector Control Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
Vehicle Mechanic,Manufacturing,Manufacture of motor vehicles,Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Veterinary Lab Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N,,,,,31-9096,-0.8265822627679962,0.5972222222222222,-0.6208551218124061,Protected
Video Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Video Post-Production Editor,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N,,,,,27-4032 ,0.9134893505999866,0.5563888888888889,0.7234328162668228,Displaced
Video Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Virtual Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Visual Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-1027,0.4050940821041838,0.6502777777777778,0.2827781745355038,Augmented
Visual Effects Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Visual Graphic Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-1013,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Visual Storyteller,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,27-2011,0.1441760056865995,0.5872222222222222,0.1097339598836896,Displaced
Vocal Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-2042,-0.0481137107809598,0.5141666666666667,-0.0401348537431173,Isolated
Voice and Speech Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,323.0,554.0,353.0,536.0,29-1181,0.7001210177816167,0.695,0.4574123982839896,Augmented
Voice Talent,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,25-3021,0.5095961456095874,0.6,0.3813477822978413,Augmented
Voice-over Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-2042,-0.0481137107809598,0.5141666666666667,-0.0401348537431173,Isolated
Wafer Fabrication Technician,Manufacturing,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Ward Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Ward Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Warehouse Aide (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,53-7121,-1.394520359139548,0.6941666666666667,-0.912248734937121,Protected
